Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.2","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.5","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.2","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159-160","Serviceloven","§ 159-160","A20150015029_P159-160",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76a","Serviceloven","§ 76a","A20150015029_P76a",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76a","Serviceloven","§ 76a","A20150015029_P76a",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76a","Serviceloven","§ 76a","A20150015029_P76a",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.2","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.3","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P159","Serviceloven","§ 159","A20150015029_P159",[[Category:NaN_KLE_Data]]
"Straffuldbyrdelsesloven_A20120043529_P78","Straffuldbyrdelsesloven","§ 78","A20120043529_P78",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.3","A20150015029_P140",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66a","Serviceloven","§ 66a","A20150015029_P66a",[[Category:NaN_KLE_Data]]
"BEK om plejefamilier_B20130155405","BEK om plejefamilier","","B20130155405",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66a","Serviceloven","§ 66a, Stk.2-4","A20150015029_P66a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66a","Serviceloven","§ 66a, Stk.5","A20150015029_P66a",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"BEK om Tilbudsportalen_B20130155805","BEK om Tilbudsportalen","","B20130155805",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P173","Serviceloven","§ 173","A20150015029_P173",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P78","Serviceloven","§ 78, Stk.1","A20150015029_P78",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P78","Serviceloven","§ 78, Stk.7","A20150015029_P78",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P79a","Serviceloven","§ 79a","A20150015029_P79a",[[Category:NaN_KLE_Data]]
"Lov om ændring af beredskabsloven_A20140051430","Lov om ændring af beredskabsloven","","A20140051430",[[Category:NaN_KLE_Data]]
"Beredskabsloven_A20090066029_P51a","Beredskabsloven","§ 51a","A20090066029_P51a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P79","Serviceloven","§ 79","A20150015029_P79",[[Category:NaN_KLE_Data]]
"BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79 83 og 84_B20140157605","BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79, 83 og 84","","B20140157605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P80","Serviceloven","§ 80","A20150015029_P80",[[Category:NaN_KLE_Data]]
"BEK om kvalitetsstandarder for hjemmehjælp rehabiliteringsforløb og træning efter servicelovens §§ 83 83 a og 86_B20140157505","BEK om kvalitetsstandarder for hjemmehjælp, rehabiliteringsforløb og træning efter servicelovens §§ 83, 83 a og 86","","B20140157505",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P83","Serviceloven","§ 83","A20150015029_P83",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P87","Serviceloven","§ 87","A20150015029_P87",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P93","Serviceloven","§ 93","A20150015029_P93",[[Category:NaN_KLE_Data]]
"BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79 83 og 84_B20140157605","BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79, 83 og 84","","B20140157605",[[Category:NaN_KLE_Data]]
"BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83_B20130034405","BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83","","B20130034405",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P83a","Serviceloven","§ 83a","A20150015029_P83a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029","Serviceloven","","A20150015029",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P84","Serviceloven","§ 84","A20150015029_P84",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P87","Serviceloven","§ 87","A20150015029_P87",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P85","Serviceloven","§ 85","A20150015029_P85",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P86","Serviceloven","§ 86","A20150015029_P86",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P93","Serviceloven","§ 93","A20150015029_P93",[[Category:NaN_KLE_Data]]
"BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83_B20130034405","BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83","","B20130034405",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P88-89","Serviceloven","§ 88-89","A20150015029_P88-89",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P83","Serviceloven","§ 83, Stk.1","A20150015029_P83",[[Category:NaN_KLE_Data]]
"BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79 83 og 84_B20140157605","BEK om betaling for generelle tilbud og for tilbud om personlig og praktisk hjælp m.v. efter servicelovens §§ 79, 83 og 84","","B20140157605",[[Category:NaN_KLE_Data]]
"Vejledning om servicelovens formål og generelle bestemmelser i loven_C20110001260","Vejledning om servicelovens formål og generelle bestemmelser i loven","","C20110001260",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P36","Pensionsloven","§ 36","A20150001029_P36",[[Category:NaN_KLE_Data]]
"Vejledning om servicelovens formål og generelle bestemmelser i loven_C20110001260","Vejledning om servicelovens formål og generelle bestemmelser i loven","","C20110001260",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P8","Forvaltningsloven","§ 8","A20140043329_P8",[[Category:NaN_KLE_Data]]
"Vejledning om servicelovens formål og generelle bestemmelser i loven_C20110001260","Vejledning om servicelovens formål og generelle bestemmelser i loven","","C20110001260",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P91","Serviceloven","§ 91","A20150015029_P91",[[Category:NaN_KLE_Data]]
"BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83_B20130034405","BEK om frit valg af leverandør af hjemmehjælp og fritvalgsbevis efter servicelovens § 91 og om kvalitetskrav til leverandører af hjemmehjælp efter servicelovens § 83","","B20130034405",[[Category:NaN_KLE_Data]]
